sf2PPeXQrUA_000000_000010#enc2zh#0 一个男孩踢了一个领域的足球，一个女孩在它之后奔跑
pwCguMjX_3A_000002_000012#enc2zh#6 一个女人表现出一些有氧运动
pwCguMjX_3A_000002_000012#enc2zh#7 一个女人蹲着，而背景中的一个人蹲下来蹲下
pwCguMjX_3A_000002_000012#enc2zh#8 一个女人正在展示一个小蹲锻炼，而男人叙述她的动作
pwCguMjX_3A_000002_000012#enc2zh#9 在有氧运动期间，一位培训师将他的客户蹲下动作指导
L0Mfvzh4peo_000062_000072#enc2zh#0 烹调食物的两个人在炉子上面，然后向盘子上送到菜
L0Mfvzh4peo_000062_000072#enc2zh#1 一群厨师说明了如何在叙述发生时多种方式烹饪扇贝
L0Mfvzh4peo_000062_000072#enc2zh#2 一个厨师团队在语音叙述时炫耀他们的技能
L0Mfvzh4peo_000062_000072#enc2zh#3 播音员描述了如何烹饪扇贝并获得一个伟大的盘子上诉
L0Mfvzh4peo_000062_000072#enc2zh#4 厨师苏格斯·扇贝，并将它们放在盘子上
L0Mfvzh4peo_000062_000072#enc2zh#5 厨师在厨房烹饪和电镀食物
L0Mfvzh4peo_000062_000072#enc2zh#6 人们正在谈论和制作厨房里的专业食物
L0Mfvzh4peo_000062_000072#enc2zh#7 厨师正在餐厅烹饪和电镀扇贝
L0Mfvzh4peo_000062_000072#enc2zh#8 一个男人正在谈论厨师在盘子上留下一些食物
L0Mfvzh4peo_000062_000072#enc2zh#9 一个人在厨房里准备美味的菜
E2croigfy4Y_000017_000027#enc2zh#0 液体用化学机器的设备煮沸
E2croigfy4Y_000017_000027#enc2zh#1 在底部的绿色地球上熏制了烟熏烟水和水泡
E2croigfy4Y_000017_000027#enc2zh#2 水烟是冒泡，有人从管中吸入
E2croigfy4Y_000017_000027#enc2zh#3 有人似乎正在展示如何从苏打水中获得泡沫
E2croigfy4Y_000017_000027#enc2zh#4 个人在外面，正在吸食某种管道
E2croigfy4Y_000017_000027#enc2zh#5 一个人放一些瓶子，可以和水管一起
E2croigfy4Y_000017_000027#enc2zh#6 它显示了一种装置，该装置包含液体又具有空气出口的瓶子
E2croigfy4Y_000017_000027#enc2zh#7 一个人显示暗对象的不同部分
E2croigfy4Y_000017_000027#enc2zh#8 当水中冒泡时，素喇叭被展示
E2croigfy4Y_000017_000027#enc2zh#9 一杯饮料从软管倒入容器中
3qBLumz-KJo_000279_000289#enc2zh#0 有些人在厨房里烹饪东西，听柔和的音乐
3qBLumz-KJo_000279_000289#enc2zh#1 一个人把一大碗绿色放入锅里
3qBLumz-KJo_000279_000289#enc2zh#2 看到一个人描述和烹饪一些绿色蔬菜
3qBLumz-KJo_000279_000289#enc2zh#3 植物倾倒在炉子上的煎锅中
3qBLumz-KJo_000279_000289#enc2zh#4 一个人把蔬菜从一个碗里倒入锅中
3qBLumz-KJo_000279_000289#enc2zh#5 一个人把蔬菜放在炉子上的锅里
3qBLumz-KJo_000279_000289#enc2zh#6 一个人抱着叶子的漏勺，他们把它们尖尖放入炉子上的煎锅
3qBLumz-KJo_000279_000289#enc2zh#7 一个人通过展示蔬菜显示一些食谱并将它们放在锅上并将其分开
3qBLumz-KJo_000279_000289#enc2zh#8 有人将一个装满绿色的锅扔进炉子上的煎锅里
3qBLumz-KJo_000279_000289#enc2zh#9 在煎锅中烹饪晚餐，同时听古典音乐
5x-3iU4Mjq8_000005_000015#enc2zh#0 一个小男孩正在床上和打哈欠
5x-3iU4Mjq8_000005_000015#enc2zh#1 一个穿着橙色成套装备的年轻宝宝醒来和打哈欠
5x-3iU4Mjq8_000005_000015#enc2zh#2 一个女人抱着她的婴儿儿子，并用他制作婴儿噪音
5x-3iU4Mjq8_000005_000015#enc2zh#3 婴儿打击延伸并在听到女性的声音时伸展并发出噪音
5x-3iU4Mjq8_000005_000015#enc2zh#4 一个男婴被一个床上的人抱着
5x-3iU4Mjq8_000005_000015#enc2zh#5 婴儿在臂长度延伸时伸展和打哈欠
5x-3iU4Mjq8_000005_000015#enc2zh#6 一个男孩在手中举行了一只盯着这个人
5x-3iU4Mjq8_000005_000015#enc2zh#7 一个婴儿男孩打哈欠，看起来他准备去睡觉了
5x-3iU4Mjq8_000005_000015#enc2zh#8 一个年轻的婴儿打哈欠，而在背景中讲一个女性的声音
5x-3iU4Mjq8_000005_000015#enc2zh#9 一个人被一个人举行的婴儿给了一个大的打哈欠，伸展他的手臂
8Y3K5w3b2CU_000000_000010#enc2zh#0 两名男孩在外面翻转一张厚厚的垫子
8Y3K5w3b2CU_000000_000010#enc2zh#1 两个男孩站在垫子的边缘，然后一起做一个后翻盖
8Y3K5w3b2CU_000000_000010#enc2zh#2 男孩练习从跳跃的垫子的边缘翻转
8Y3K5w3b2CU_000000_000010#enc2zh#3 两个孩子正在跳下绿色地图，然后做一个翻转
8Y3K5w3b2CU_000000_000010#enc2zh#4 一个男孩在开蓝阶段，跳下来，背部翻转
8Y3K5w3b2CU_000000_000010#enc2zh#5 两个年轻男孩从厚厚的垫子上搬回
8Y3K5w3b2CU_000000_000010#enc2zh#6 两个孩子在垫子上得到，同时一起执行后面翻转
8Y3K5w3b2CU_000000_000010#enc2zh#7 两个年轻的男孩在练习垫的一侧排队，然后脱掉它
8Y3K5w3b2CU_000000_000010#enc2zh#8 两个孩子在外面的床垫上掉下来
8Y3K5w3b2CU_000000_000010#enc2zh#9 两个年轻男孩从垫子上拍了一双
M-B6nIEF3KM_000111_000121#enc2zh#0 一个男人在刃磨块上削尖一把小刀，然后感觉到边缘
M-B6nIEF3KM_000111_000121#enc2zh#1 一个男人坐在一张桌子上，正在使用一块石头磨刀
M-B6nIEF3KM_000111_000121#enc2zh#2 一个人正在展示一种在磨石上削尖刀的技术
M-B6nIEF3KM_000111_000121#enc2zh#3 一个男人展示了在石头上磨刀的正确方法
M-B6nIEF3KM_000111_000121#enc2zh#4 一个男人坐在一张桌子后面锐化刀刃
M-B6nIEF3KM_000111_000121#enc2zh#5 眼镜中的一个男人正在使用一个设备来磨刀
M-B6nIEF3KM_000111_000121#enc2zh#6 一个男人坐在一张桌子上，演示如何在锐化的石头上磨刀
M-B6nIEF3KM_000111_000121#enc2zh#7 一个男人通过摩擦反对街区来磨刀
M-B6nIEF3KM_000111_000121#enc2zh#8 一个男人穿着一件黑色衬衫和眼镜在磨刀器上揉搓一把刀，然后拿着刀子，并用西班牙语说些什么
M-B6nIEF3KM_000111_000121#enc2zh#9 一个男人在他面前的另一个表面上刮一块金属
BMdrFU5SGNI_000028_000038#enc2zh#0 一个婴儿爬行，然后坐下来继续哭泣
BMdrFU5SGNI_000028_000038#enc2zh#1 幼儿哭泣歇斯底里地推着她的手臂抬起头并保持哭泣
BMdrFU5SGNI_000028_000038#enc2zh#2 坐在地板上时，婴儿叫声极大地哭泣
BMdrFU5SGNI_000028_000038#enc2zh#3 坐在闪亮的地板上时，一个男性婴儿哭泣
BMdrFU5SGNI_000028_000038#enc2zh#4 婴儿在地板上爬行，同时哭泣
BMdrFU5SGNI_000028_000038#enc2zh#5 橙色衬衫的婴儿在地板上哭泣
BMdrFU5SGNI_000028_000038#enc2zh#6 一个婴儿穿着橙色衬衫用哭泣声音他的不满
BMdrFU5SGNI_000028_000038#enc2zh#7 一个婴儿坐在上，试图在大声哭泣时伸手去拿东西
BMdrFU5SGNI_000028_000038#enc2zh#8 亚洲宝宝在地板上哭泣视觉困扰
BMdrFU5SGNI_000028_000038#enc2zh#9 由于落在地板上，宝宝可能哭泣
n753IrV58Gk_000013_000023#enc2zh#0 一个男人在他放手之前从一个梯子摆动，被另一个人抓住了
n753IrV58Gk_000013_000023#enc2zh#1 两位旅星艺术家表演了一个技巧和人们欢呼
n753IrV58Gk_000013_000023#enc2zh#2 一个人从一个帖子摆动到另一个人的手臂上面的人群
n753IrV58Gk_000013_000023#enc2zh#3 一个人在倒塌的人让我们去做一个翻转，被另一个人抓住
n753IrV58Gk_000013_000023#enc2zh#4 人们在空中做了一个倒塌的行动，一个男人做了一个背部翻转和另一个人在倒带后颠倒的人在翻盖后抓住他的手
n753IrV58Gk_000013_000023#enc2zh#5 一个人在空中翻转，被另一个人做了倒塌工作的人抓住了
n753IrV58Gk_000013_000023#enc2zh#6 一个人从飞机上翻转和有人抓住他们
n753IrV58Gk_000013_000023#enc2zh#7 当人们在他摔倒之前，当人们摇摇欲坠的时候，一名男子们在一个空中摇摆时摆动了一个刺绣。
n753IrV58Gk_000013_000023#enc2zh#8 一群人在网上执行一些长期移动
n753IrV58Gk_000013_000023#enc2zh#9 两个人在人们欢呼时正在摇摆酒吧做马戏团技巧
JlVJ2vA9vmU_000022_000032#enc2zh#0 一个男人试图在一家酒吧里骑机械公牛，而歌唱团队娱乐顾客
JlVJ2vA9vmU_000022_000032#enc2zh#1 一个男人骑着机械公牛旋转和枢转
JlVJ2vA9vmU_000022_000032#enc2zh#2 在音乐会期间，一个人正在乘坐一个机械公牛
JlVJ2vA9vmU_000022_000032#enc2zh#3 一个男人骑着机械牛肉，而表演者在他身后的舞台上唱歌
JlVJ2vA9vmU_000022_000032#enc2zh#4 一个男人正在拍摄骑着公牛骑马机，在背景中玩乐队
JlVJ2vA9vmU_000022_000032#enc2zh#5 作为现场乐队的俱乐部内部骑一头机械公牛的人表演
JlVJ2vA9vmU_000022_000032#enc2zh#6 一个人在一个移动的笑牛上玩耍
JlVJ2vA9vmU_000022_000032#enc2zh#7 一个男人在机械马上持有作为一个现场音乐小组在舞台上扮演舞台和一个女人在背景中喊
JlVJ2vA9vmU_000022_000032#enc2zh#8 一个男人在音乐会上骑机械公牛
JlVJ2vA9vmU_000022_000032#enc2zh#9 一个人在俱乐部里骑一头机械公牛，而乐队正在舞台上的背景下播放
9I8me3WxbzA_000004_000014#enc2zh#0 一个男人摇滚并在健身房楼上抬起一边
9I8me3WxbzA_000004_000014#enc2zh#1 一个男人正在为某种类型的武术举动显示培训技术
9I8me3WxbzA_000004_000014#enc2zh#2 一个男人颠倒了，对仰卧起来做一些行动
9I8me3WxbzA_000004_000014#enc2zh#3 一个人正在表演如何作为保护方法抓住
9I8me3WxbzA_000004_000014#enc2zh#4 那家伙正在做一些警卫坐在地板上练习
9I8me3WxbzA_000004_000014#enc2zh#5 垫子上的一个男人正在坐在一名锻炼身体上
9I8me3WxbzA_000004_000014#enc2zh#6 男人穿短裤和一件摇衬底从他的脚上摇摆到他的脚
9I8me3WxbzA_000004_000014#enc2zh#7 一个人在地板上展示了一个特定的仰卧起来的运动
9I8me3WxbzA_000004_000014#enc2zh#8 一个男人正在在地板上和垫子上表演锻炼惯例
9I8me3WxbzA_000004_000014#enc2zh#9 一个男人在地板上滚动下来，坐起来
C5yTd8hS6AY_000039_000049#enc2zh#0 一名男子通过鼻子划分的意大利面，通过他的嘴来朝着别人看的厌恶
C5yTd8hS6AY_000039_000049#enc2zh#1 一个男人从鼻子上拉面条到嘴里
C5yTd8hS6AY_000039_000049#enc2zh#2 一个男人正在鼻孔喂一块意大利面条，然后嘴巴
C5yTd8hS6AY_000039_000049#enc2zh#3 一个人正在将一个螺纹穿过鼻子，人们厌恶
C5yTd8hS6AY_000039_000049#enc2zh#4 一个男人展示了他如何在不同的人面前用牙齿
C5yTd8hS6AY_000039_000049#enc2zh#5 一个男人在鼻孔和嘴巴之间穿过面条并用牙线
C5yTd8hS6AY_000039_000049#enc2zh#6 一个男人正在展示如何通过他的没有嘴巴贴在面条
C5yTd8hS6AY_000039_000049#enc2zh#7 当一个男人通过他的鼻子拉过意大利面时，一个家庭造成了粗略
C5yTd8hS6AY_000039_000049#enc2zh#8 一个男人绳子鼻子，嘴巴出来，开始用牙线，而有人目睹它说它eww
C5yTd8hS6AY_000039_000049#enc2zh#9 那个男人正在拿一支意大利面条，把它放在鼻子里，同时把它拉出来
CXgv232iW3c_000002_000012#enc2zh#0 一个女人躺在她的背上，同时推着她的胳膊的一个小孩
CXgv232iW3c_000002_000012#enc2zh#1 一位女士通过让小男孩在他手中保持锻炼，然后上下移动手
CXgv232iW3c_000002_000012#enc2zh#2 一个女人上下抬起孩子进行锻炼
CXgv232iW3c_000002_000012#enc2zh#3 躺在地板上的一个人面对向上，同时抬起一个上下运动
CXgv232iW3c_000002_000012#enc2zh#4 一位母亲用她的儿子作为一个称重吧，在她躺在空中抬起空气来做练习
CXgv232iW3c_000002_000012#enc2zh#5 一个女人躺在地上和卧龄踩着她的孩子
CXgv232iW3c_000002_000012#enc2zh#6 一位母亲像长凳上的几次把她的儿子抬到空中
CXgv232iW3c_000002_000012#enc2zh#7 当她用她的胸部上方举行的小孩，那个女人躺在地板上
CXgv232iW3c_000002_000012#enc2zh#8 一个男孩向后倾斜，被一名年轻女性抬起，然后一个年轻女性抬起，然后再来几次将他压在她上面
CXgv232iW3c_000002_000012#enc2zh#9 一个女人正在举行一个小孩的同时俯卧起来
DLr9B2Bi0M0_000008_000018#enc2zh#0 一个男孩在院子里的物体上摆动斧头
DLr9B2Bi0M0_000008_000018#enc2zh#1 一个年轻人使用大锤在人行道上分解物品
DLr9B2Bi0M0_000008_000018#enc2zh#2 一个男孩通过用斧头反复撞击它来摧毁电吉他
DLr9B2Bi0M0_000008_000018#enc2zh#3 一个男孩在一堆水泥踩石头上摧毁了一些东西
DLr9B2Bi0M0_000008_000018#enc2zh#4 看到一个人在地上砸碎吉他
DLr9B2Bi0M0_000008_000018#enc2zh#5 一个人用斧头打破地面上的东西
DLr9B2Bi0M0_000008_000018#enc2zh#6 Ayoung人正在击败和摧毁地面上的乐器
DLr9B2Bi0M0_000008_000018#enc2zh#7 一个人的侧面制动陶器，而其他人看着他
DLr9B2Bi0M0_000008_000018#enc2zh#8 一个男孩用一些草和一棵树在人行道上粉碎了一把吉他
DLr9B2Bi0M0_000008_000018#enc2zh#9 一个年轻的男孩使用大锤在外面的地面上击中不同的东西
xQCi12r6Lfg_000003_000013#enc2zh#0 一个年轻人在轨道和田野比赛中竞争锤子投掷活动
xQCi12r6Lfg_000003_000013#enc2zh#1 一个男人正在尝试在田野外面投掷的运动锤子
xQCi12r6Lfg_000003_000013#enc2zh#2 当他摆动并准备释放射击时，运动员旋转在几次下面几次
xQCi12r6Lfg_000003_000013#enc2zh#3 男运动员连续旋转他的整个身体，在圈子上拿着一个球连接到连锁末端的球准备锤子扔
xQCi12r6Lfg_000003_000013#enc2zh#4 运动员摇摆几次准备将锤子从圆圈中扔出锤子
xQCi12r6Lfg_000003_000013#enc2zh#5 当准备释放距离的物体时，一个男人旋转在一个比赛领域
xQCi12r6Lfg_000003_000013#enc2zh#6 一个男人在圈子里旋转，以抛出铁饼
xQCi12r6Lfg_000003_000013#enc2zh#7 一位年轻的运动员准备在发布之前扔他的射门
xQCi12r6Lfg_000003_000013#enc2zh#8 一个男人在体育赛事上摇摆一个球
xQCi12r6Lfg_000003_000013#enc2zh#9 一个男性在室外活动中旋转多次，用绳子在他的手中，一个绳子附着在最后
LgHB-PEWODk_000002_000012#enc2zh#0 坐在桌子的男人在他的生日蛋糕上吹灭蜡烛
LgHB-PEWODk_000002_000012#enc2zh#1 坐在一张桌上的一个人与一杯饮料在一边和一个点燃的蜡烛在他爆炸的他前面的蛋糕
LgHB-PEWODk_000002_000012#enc2zh#2 一个男人在蛋糕上吹灭蜡烛
LgHB-PEWODk_000002_000012#enc2zh#3 一个男人在他的50岁生日上吹灭蛋糕上的蜡烛
LgHB-PEWODk_000002_000012#enc2zh#4 一个男人坐在桌子上，吹出他的蛋糕上的蜡烛
LgHB-PEWODk_000002_000012#enc2zh#5 蛋糕前面的一个男人把他的竖起大拇指吹出来蜡烛
LgHB-PEWODk_000002_000012#enc2zh#6 一个男人坐在生日蛋糕前面，吹蜡烛
LgHB-PEWODk_000002_000012#enc2zh#7 一个年长的男人给了两个竖起大拇指，在他的生日蛋糕上吹灭蜡烛
LgHB-PEWODk_000002_000012#enc2zh#8 一名男子在准备装饰蛋糕上的蜡烛时发出竖起大拇指
LgHB-PEWODk_000002_000012#enc2zh#9 一个男人正在庆祝他的生日，准备炸掉他的蜡烛
-6tk1dzeCmA_000144_000154#enc2zh#0 擦除和安排一些玻璃瓶的厨房里的人
-6tk1dzeCmA_000144_000154#enc2zh#1 一个男人在清洁厨房时填满啤酒瓶
-6tk1dzeCmA_000144_000154#enc2zh#2 一个男人似乎在厨房里填充和标记啤酒瓶
-6tk1dzeCmA_000144_000154#enc2zh#3 一个男人在厨房里的瓶子和什锦的其他物品
-6tk1dzeCmA_000144_000154#enc2zh#4 快节奏的一个男人在厨房里开放几瓶啤酒
-6tk1dzeCmA_000144_000154#enc2zh#5 一个男人脱掉烘干架的啤酒瓶，然后把晾衣架放在晾衣架上
-6tk1dzeCmA_000144_000154#enc2zh#6 在一个男人打开瓶啤酒并将它们放在柜台上
-6tk1dzeCmA_000144_000154#enc2zh#7 厨房里的一个男人从冰箱前面的六个包中拿着每个瓶子，然后在退出前用柜台发射
-6tk1dzeCmA_000144_000154#enc2zh#8 一个男人正在寻找一些啤酒瓶，他把它们放到承运人身上，然后拆除塑料展示
-6tk1dzeCmA_000144_000154#enc2zh#9 一个男人从冰箱里装满了一些瓶装，并把瓶子放在纸箱里
Q5YXwZAe4i0_000140_000150#enc2zh#0 一个女人正在使用工具来塑造一些热玻璃
Q5YXwZAe4i0_000140_000150#enc2zh#1 一个女人正在工作杠杆，在它的末端上移动橙色球
Q5YXwZAe4i0_000140_000150#enc2zh#2 作为音乐剧的金属工具，一名妇女正在塑造熔融玻璃
Q5YXwZAe4i0_000140_000150#enc2zh#3 一个女人在一个旋转玻璃的车间里拿着一个工具
Q5YXwZAe4i0_000140_000150#enc2zh#4 坐在与玻璃拿着它的妇女弄乱与一块金属
Q5YXwZAe4i0_000140_000150#enc2zh#5 艺术家形状，并在杆末端的玻璃件上工作
Q5YXwZAe4i0_000140_000150#enc2zh#6 一个女人在车间做了一些在玻璃上的工作
Q5YXwZAe4i0_000140_000150#enc2zh#7 一名年轻女子在金属杆上旋转玻璃
Q5YXwZAe4i0_000140_000150#enc2zh#8 一个女人正在来回移动圆柱形管，它有什么看起来像一个彩色旋钮
Q5YXwZAe4i0_000140_000150#enc2zh#9 一个女人正在使用一些金属轮尺来握住一个非常热的玻璃球
wUVxf6GUTHM_000019_000029#enc2zh#0 戴着头盔的一个年轻男孩骑在户内翱翔板户外和波浪
wUVxf6GUTHM_000019_000029#enc2zh#1 一个男孩慢慢地骑着百货商店周围的悬浮板
wUVxf6GUTHM_000019_000029#enc2zh#2 一个男孩在戴着盔甲在商店戴着头盔骑在一个悬挂板上
wUVxf6GUTHM_000019_000029#enc2zh#3 一个年轻的人在商店里面使用悬挂板
wUVxf6GUTHM_000019_000029#enc2zh#4 一名盔甲的男人在挥舞着自己的手中骑自行平衡的踏板车
wUVxf6GUTHM_000019_000029#enc2zh#5 滑板车上的一个人通过商店溜冰鞋，然后他挥动
wUVxf6GUTHM_000019_000029#enc2zh#6 在购物中心一个男人使用悬停板来移动而不是走路
wUVxf6GUTHM_000019_000029#enc2zh#7 一个带有头盔的孩子骑在商店里面的一个悬浮板
wUVxf6GUTHM_000019_000029#enc2zh#8 一个小男孩在商店里骑着轮式装置
wUVxf6GUTHM_000019_000029#enc2zh#9 一个孩子在商店里骑着胡佛板，然后转身去另一个方向
AMPSyUu1r0U_000199_000209#enc2zh#0 两个家伙似乎在桌子上品尝一些葡萄酒
AMPSyUu1r0U_000199_000209#enc2zh#1 两个坐着的人在他们面前的瓶子里素样葡萄酒
AMPSyUu1r0U_000199_000209#enc2zh#2 坐在桌上的两个人尝试两种不同类型的酒
AMPSyUu1r0U_000199_000209#enc2zh#3 有两名男子坐在一张桌子上喝着不同的瓶子里多葡萄酒眼镜
AMPSyUu1r0U_000199_000209#enc2zh#4 坐在桌子的两名男子品尝两种不同的葡萄酒并讨论它们
AMPSyUu1r0U_000199_000209#enc2zh#5 两名男子坐在一张桌子，同时喝酒和谈话
AMPSyUu1r0U_000199_000209#enc2zh#6 两个中年男子聊天，享受公共场所的品尝葡萄酒
AMPSyUu1r0U_000199_000209#enc2zh#7 两个男人的味道，然后审查不同品种的葡萄酒
AMPSyUu1r0U_000199_000209#enc2zh#8 葡萄酒品尝的两个人正在讨论他们的葡萄酒印象
AMPSyUu1r0U_000199_000209#enc2zh#9 坐在餐馆喝的两名男子和讨论酒
hEi8ty_0-JU_000132_000142#enc2zh#0 一个女人在使用喷雾瓶中喷洒在厕所里面撒上厕所
hEi8ty_0-JU_000132_000142#enc2zh#1 显示面包苏打的妇女清洁她的洗手间与其他液体
hEi8ty_0-JU_000132_000142#enc2zh#2 一个女人正在展示如何使用不同的房屋产品来清洁厕所
hEi8ty_0-JU_000132_000142#enc2zh#3 妇女在马桶中混合清洁溶液
hEi8ty_0-JU_000132_000142#enc2zh#4 一个人在厕所传播面包苏打水然后加入醋
hEi8ty_0-JU_000132_000142#enc2zh#5 一个女人洒了小苏打，然后在厕所里喷洒柠檬草油
hEi8ty_0-JU_000132_000142#enc2zh#6 有人洒了一些东西，然后把东西喷到厕所里清洁它
hEi8ty_0-JU_000132_000142#enc2zh#7 一个女人正在用醋和柠檬香茅喷洒厕所来清洁它
hEi8ty_0-JU_000132_000142#enc2zh#8 一个女人正在展示如何清洁卫生间厕所
hEi8ty_0-JU_000132_000142#enc2zh#9 一个女人展示如何用柠檬草清洁厕所碗，同时涂上小苏打和面包苏打水
2wIcUAH9yaM_000024_000034#enc2zh#0 在后院两个女孩拿着篮子并拿起鸡蛋
2wIcUAH9yaM_000024_000034#enc2zh#1 一些女孩正在复活节复活节拍摄
2wIcUAH9yaM_000024_000034#enc2zh#2 一个大姐姐和小妹妹携带复活节篮子，因为他们在后院寻找复活节彩蛋
2wIcUAH9yaM_000024_000034#enc2zh#3 一个小女孩有一个复活节篮子寻找鸡蛋作为她的妹妹发现一些
2wIcUAH9yaM_000024_000034#enc2zh#4 有一篮子和一个女孩有一个棕色篮子的女孩在后院捕猎鸡蛋
2wIcUAH9yaM_000024_000034#enc2zh#5 一个篮子里的一个年轻女孩走过她的后院
2wIcUAH9yaM_000024_000034#enc2zh#6 一个有复活节篮子的小女孩跑来拿起复活节彩蛋
2wIcUAH9yaM_000024_000034#enc2zh#7 孩子和成年人在后院继续似乎是复活节彩蛋狩猎
2wIcUAH9yaM_000024_000034#enc2zh#8 两个女孩走在他们的后院收集复活节彩蛋
2wIcUAH9yaM_000024_000034#enc2zh#9 篮子的孩子们在一个大院子里走来寻找复活节彩蛋
yDjvtHR_VT0_000015_000025#enc2zh#0 一个人用一个观察者提升权重，以帮助他的人拍手
yDjvtHR_VT0_000015_000025#enc2zh#1 一名男子抬起重量返回重量，因为别人为他振作起来
yDjvtHR_VT0_000015_000025#enc2zh#2 一个男人正在通过长凳在健身房锻炼，另一个是因为他的工作而拍手
yDjvtHR_VT0_000015_000025#enc2zh#3 一个男人的一个场景，而一个人举重举重另一个正在观看
yDjvtHR_VT0_000015_000025#enc2zh#4 一个男人抬起一些沉重的重量和其他拍手
yDjvtHR_VT0_000015_000025#enc2zh#5 一个男人正在躺在长凳上，抬起哑铃
yDjvtHR_VT0_000015_000025#enc2zh#6 一个男人抬起杠铃，然后把它放回弯曲
yDjvtHR_VT0_000015_000025#enc2zh#7 两名男子在一个运动区域，一个人躺在一台机器，而一个人助攻他
yDjvtHR_VT0_000015_000025#enc2zh#8 一个男人是卧床压力，而另一个人会招呼他
yDjvtHR_VT0_000015_000025#enc2zh#9 一个男人抬起一块金属吧，最后一名男子手表
B57NAi7KZ78_000008_000018#enc2zh#0 一个人在船上滑雪，擦掉
B57NAi7KZ78_000008_000018#enc2zh#1 一个人试图在水上滑雪，但落入水中
B57NAi7KZ78_000008_000018#enc2zh#2 在他脱落滑雪板之前，一个男人被示出了水滑雪
B57NAi7KZ78_000008_000018#enc2zh#3 一个人的水滑雪突然落在水中
B57NAi7KZ78_000008_000018#enc2zh#4 一个男人的水平失去平衡并落入水中
B57NAi7KZ78_000008_000018#enc2zh#5 在水上滑雪板上的少年被船上拉到一艘与船上的船上，在视频中听到了对他的欢呼
B57NAi7KZ78_000008_000018#enc2zh#6 一个男人在水滑雪上被一艘船拉入湖
B57NAi7KZ78_000008_000018#enc2zh#7 一个水滑入水中的男人
B57NAi7KZ78_000008_000018#enc2zh#8 虽然接受鼓励他做得很好，但是一个人是水滑雪和跌倒
B57NAi7KZ78_000008_000018#enc2zh#9 几秒钟后，水滑雪板上的人跌倒了
DxjGNZXHIDo_000193_000203#enc2zh#0 一个人在大型电子机器上接触照明的按钮
DxjGNZXHIDo_000193_000203#enc2zh#1 一个男人正在谈论他正在推动大董事会的按钮
DxjGNZXHIDo_000193_000203#enc2zh#2 一个男人在视频游戏上击中按钮并显示如何玩
DxjGNZXHIDo_000193_000203#enc2zh#3 一个人正在展示如何操作电子小工具
DxjGNZXHIDo_000193_000203#enc2zh#4 一个男人正在按下正在照亮的键盘上按下按钮
DxjGNZXHIDo_000193_000203#enc2zh#5 当按钮照亮时，按下一个在操纵杆上的人
DxjGNZXHIDo_000193_000203#enc2zh#6 这个男人正在播放音乐基于他的董事会的灯光
DxjGNZXHIDo_000193_000203#enc2zh#7 一个人用一堆按钮和快乐棍子将代码输入某种控制台
DxjGNZXHIDo_000193_000203#enc2zh#8 一个人在某种类型的游戏控制台上推动各种按钮
DxjGNZXHIDo_000193_000203#enc2zh#9 有一个非常奇怪的控制台的人试图按一系列按钮
9XGSi2nIY9E_000040_000050#enc2zh#0 一名年轻人将煎饼翻了一番煎锅到他的朋友，他在他的煎锅里抓住了他们
9XGSi2nIY9E_000040_000050#enc2zh#1 在一个厨房里，两个人正在从一个平底锅扔一个煎饼
9XGSi2nIY9E_000040_000050#enc2zh#2 两个成年男子在彼此平底锅中翻转煎饼时笑
9XGSi2nIY9E_000040_000050#enc2zh#3 一群人将煎饼翻转到比赛中交替煎锅
9XGSi2nIY9E_000040_000050#enc2zh#4 两个人在厨房里的平底锅之间来回涂上煎饼
9XGSi2nIY9E_000040_000050#enc2zh#5 两个人用煎锅来回扔煎饼
9XGSi2nIY9E_000040_000050#enc2zh#6 两个青少年的男孩轮流翻转从煎锅的薄煎饼，当站立在厨房时
9XGSi2nIY9E_000040_000050#enc2zh#7 两个人正在互相翻转煎饼
9XGSi2nIY9E_000040_000050#enc2zh#8 两个人在两个煎锅之间来回翻身煎饼
9XGSi2nIY9E_000040_000050#enc2zh#9 一个年轻人用他抱着的煎锅捕捉食物，然后笑
sh3K9P5UXL8_000006_000016#enc2zh#0 一个孩子，一个扁平的顶级希望你会在长笛上喜欢他的歌
sh3K9P5UXL8_000006_000016#enc2zh#1 拿着录音机的一个年轻男孩谈话在他扮演它之前
sh3K9P5UXL8_000006_000016#enc2zh#2 一个年轻的男孩正在与他的观众交谈，然后开始玩塑料长笛
sh3K9P5UXL8_000006_000016#enc2zh#3 一个房间里面的一个人自己玩乐器
sh3K9P5UXL8_000006_000016#enc2zh#4 一个年轻的男孩正在演奏长笛并解释他
sh3K9P5UXL8_000006_000016#enc2zh#5 一个年轻的男孩说他即将发挥热十字面包，然后开始吹入录音机
sh3K9P5UXL8_000006_000016#enc2zh#6 一个小男孩宣布歌曲热十字面包，然后开始在录音机风乐器上播放它
sh3K9P5UXL8_000006_000016#enc2zh#7 一个男孩放下一根长笛，他抱着嘴巴，吹了它
sh3K9P5UXL8_000006_000016#enc2zh#8 一个小男孩打一个长笛的歌曲热十字面包
sh3K9P5UXL8_000006_000016#enc2zh#9 一个小男孩在乐器上玩热十字面包
JUbuepvei2k_000013_000023#enc2zh#0 两个小女孩和一个女人正在使用来自容器的水球来获得乐趣的斗争
JUbuepvei2k_000013_000023#enc2zh#1 孩子们在一个院子里在甲板投掷水气球彼此并被软管喷出
