3c0hLqxvSSI_000000_000010#enc2zh#0 在不同的变异的平台上的一个人俯卧撑
4Zcjoek-1-4_000003_000013#enc2zh#4 一群人看着一个女人尝试跳跃
4Zcjoek-1-4_000003_000013#enc2zh#5 一个轨道事件杆跳跃在人面前的一个女孩
4Zcjoek-1-4_000003_000013#enc2zh#6 一个女人试图跳过一个酒吧，但她击倒了酒吧
4Zcjoek-1-4_000003_000013#enc2zh#7 一位年轻的女士跑来尝试高跳跃，并没有克服
4Zcjoek-1-4_000003_000013#enc2zh#8 一个女人正在跑步，然后跳过一个酒吧
4Zcjoek-1-4_000003_000013#enc2zh#9 一个女孩跑起来，跳过落下的酒吧
cS8YyDp47pc_000053_000063#enc2zh#0 汽车和人们在十字路口上展现自己的业务
cS8YyDp47pc_000053_000063#enc2zh#1 汽车人和摩托车被视为繁忙的街道交叉路口
cS8YyDp47pc_000053_000063#enc2zh#2 一个男人走到一条繁忙的街道，然后是一个女人和女人的jaywalks
cS8YyDp47pc_000053_000063#enc2zh#3 在一个繁忙的交叉路口，行人在街道穿过街道
cS8YyDp47pc_000053_000063#enc2zh#4 一辆公共汽车驾驶，虽然多个人走在城市街道到目的地，并且在背景中有朋克摇滚音乐
cS8YyDp47pc_000053_000063#enc2zh#5 许多车辆在繁忙的城市街道中展现在两个方向上
cS8YyDp47pc_000053_000063#enc2zh#6 公共汽车在路上开车，人们在街上行走
cS8YyDp47pc_000053_000063#enc2zh#7 人们走近斑马线的繁忙的道路，汽车停了下来
cS8YyDp47pc_000053_000063#enc2zh#8 行人在停放的摩托车周围走，穿过一个繁忙的街道，交通繁忙
cS8YyDp47pc_000053_000063#enc2zh#9 交通驾驶和人们走过一个大城市街道的人行横道
sNh-RENeKTQ_000125_000135#enc2zh#0 一名工人使用白布照耀着勒芒皮鞋，而她坐下
sNh-RENeKTQ_000125_000135#enc2zh#1 一个人抛光了另一个人的闪亮的黑色鞋子
sNh-RENeKTQ_000125_000135#enc2zh#2 男人是用一些黑色墨水照耀另一个男人的鞋子
sNh-RENeKTQ_000125_000135#enc2zh#3 一个男人闪耀着坐着的另一个男人的鞋子
sNh-RENeKTQ_000125_000135#enc2zh#4 一个漂亮的人在响亮的地区坐在椅子上的闪亮鞋
sNh-RENeKTQ_000125_000135#enc2zh#5 有一件手套的人在他面前照耀着一个人的鞋子
sNh-RENeKTQ_000125_000135#enc2zh#6 当他坐在椅子上升时，有人照亮了一个男鞋
sNh-RENeKTQ_000125_000135#enc2zh#7 一个男人坐下来溜走他的鞋子
sNh-RENeKTQ_000125_000135#enc2zh#8 一个男人正在闪亮另一个人的鞋子，而在背景中有噪音
sNh-RENeKTQ_000125_000135#enc2zh#9 关闭由一个人被闪耀的某人鞋子
SfBATx53wYk_000361_000371#enc2zh#0 啦啦队团队在教练呼喊令人鼓舞的话语时练习他们的日常生活
SfBATx53wYk_000361_000371#enc2zh#1 在一个房间里练习他们的啦啦队常规的人作为其他呼喊指示
SfBATx53wYk_000361_000371#enc2zh#2 两组体操运动员在举起几个啦啦队员的同时执行相同的惯例
SfBATx53wYk_000361_000371#enc2zh#3 在练习中展示他们的特技和技能，举起语音鼓励他们
SfBATx53wYk_000361_000371#enc2zh#4 一群女孩在空中举起其他女孩，然后他们中的两个落下并同时扭曲
SfBATx53wYk_000361_000371#enc2zh#5 一群女孩抬起他们上方的其他女孩然后被提升的女孩造成姿势
SfBATx53wYk_000361_000371#enc2zh#6 一组将四名成员提升到空中，然后提出了改变职位
SfBATx53wYk_000361_000371#enc2zh#7 啦啦队练习在空中举起人们并形成不同的形状
SfBATx53wYk_000361_000371#enc2zh#8 一群啦啦队队员在空中举起了三个，他们在他们周围的空气中
SfBATx53wYk_000361_000371#enc2zh#9 啦啦队小队正在空中扔众多女孩，形成金字塔，他们回来做另一个设计
teLML3IQc_w_000000_000010#enc2zh#0 有人使用切碎工具，因为它们在木材中雕刻设计
teLML3IQc_w_000000_000010#enc2zh#1 一个工具的人雕刻成一块木头
teLML3IQc_w_000000_000010#enc2zh#2 一个人使用两种不同的工具来雕刻木材，而可以听到响亮的声音
teLML3IQc_w_000000_000010#enc2zh#3 一个人使用锤子和一个特殊工具制造木材雕刻
teLML3IQc_w_000000_000010#enc2zh#4 用手凿凿木制作华丽的图案
teLML3IQc_w_000000_000010#enc2zh#5 有人在钻在后台嗡嗡作响时，将图案落入一块木头中
teLML3IQc_w_000000_000010#enc2zh#6 有一台机器作为一个人从一块木头凿出一个复杂的设计时运行
teLML3IQc_w_000000_000010#enc2zh#7 一个男人使用锤子和凿子削减木材的设计
teLML3IQc_w_000000_000010#enc2zh#8 有人正在使用凿子在一块木材上创造设计
teLML3IQc_w_000000_000010#enc2zh#9 一个人用凿子和锤子雕刻一块木头
8vkWMR7-g_U_000306_000316#enc2zh#0 一个小女孩外面抚摸和刷动物，因为他们逃离她
8vkWMR7-g_U_000306_000316#enc2zh#1 一个小女孩正在梳理山羊，而她的妈妈对她说话
8vkWMR7-g_U_000306_000316#enc2zh#2 一个小女孩正在洗一个婴儿山羊
8vkWMR7-g_U_000306_000316#enc2zh#3 一个小女孩在篱笆上刷一个黑色和白色山羊
8vkWMR7-g_U_000306_000316#enc2zh#4 一个年轻的女孩正在使用刷子来宠物，清洁山羊
8vkWMR7-g_U_000306_000316#enc2zh#5 一个女孩正在梳理一个山羊在外面的泥土区域
8vkWMR7-g_U_000306_000316#enc2zh#6 一个小女孩刷了一个山羊和一个女人对她说话
8vkWMR7-g_U_000306_000316#enc2zh#7 一件桃红色礼服的一个小女孩在一个宠物动物园刷了一个山羊
8vkWMR7-g_U_000306_000316#enc2zh#8 一个小女孩正在咯咯地笑着梳理山羊
8vkWMR7-g_U_000306_000316#enc2zh#9 一个小女孩用刷子刷山羊
mhzWCdClkAI_000142_000152#enc2zh#0 一个男孩坐在他的床上玩一把白色电吉他
mhzWCdClkAI_000142_000152#enc2zh#1 长头发的人坐在床上玩一把白色吉他
mhzWCdClkAI_000142_000152#enc2zh#2 坐在床上时，这位年轻人弹吉他
mhzWCdClkAI_000142_000152#enc2zh#3 一个人坐在一个房间的床上，带有封闭的门，围绕电吉他
mhzWCdClkAI_000142_000152#enc2zh#4 一个男孩坐在床边，在电吉他上玩一首歌
mhzWCdClkAI_000142_000152#enc2zh#5 在一个个人在没有唱歌的卧室里弹吉他
mhzWCdClkAI_000142_000152#enc2zh#6 一个年轻人坐在床上摇晃着他的电吉他
mhzWCdClkAI_000142_000152#enc2zh#7 有长的红色头发的人坐在床上弹电吉他
mhzWCdClkAI_000142_000152#enc2zh#8 在弹电吉他时，金发碧眼的年轻人正在坐在床上
mhzWCdClkAI_000142_000152#enc2zh#9 一个人坐在电吉他上的床上
elofIurd-eQ_000001_000011#enc2zh#0 一个男人在酒吧房间喝啤酒和硬液之一
elofIurd-eQ_000001_000011#enc2zh#1 酒吧里的一个男人喝一杯啤酒，然后用追逐者跟随它
elofIurd-eQ_000001_000011#enc2zh#2 一个男人惹恼了两杯饮料，然后在空中抬起双手
elofIurd-eQ_000001_000011#enc2zh#3 一个男人在酒吧里掏出两杯啤酒，而音乐正在播放
elofIurd-eQ_000001_000011#enc2zh#4 一个男人迅速喝了一大杯啤酒，然后是射击
elofIurd-eQ_000001_000011#enc2zh#5 一个男人在一个黑暗的房间里响起一杯饮料，然后喝一杯
elofIurd-eQ_000001_000011#enc2zh#6 一个男人消耗更大的饮料，然后喝一杯
elofIurd-eQ_000001_000011#enc2zh#7 一个男人喝了一杯，然后拍摄
elofIurd-eQ_000001_000011#enc2zh#8 一个男人抱着啤酒和射击，他继续刺痛啤酒并射击射击
elofIurd-eQ_000001_000011#enc2zh#9 一个男人喝啤酒和射击很快
3nt5r1f3MNY_000016_000026#enc2zh#0 躺在地毯上的婴儿在被问及妈妈可以带她的宝宝时摇晃她的头没有
3nt5r1f3MNY_000016_000026#enc2zh#1 一个年轻的女婴在躺在地板上笑
3nt5r1f3MNY_000016_000026#enc2zh#2 一个婴儿在地上，而一个人让她的笑声然后她摇头没有
3nt5r1f3MNY_000016_000026#enc2zh#3 幼儿在他们的背上谎言，而他们的父母会谈他们，让他们微笑
3nt5r1f3MNY_000016_000026#enc2zh#4 一个婴儿躺在地上一个男人正在和她说话，她摇着她的头没有
3nt5r1f3MNY_000016_000026#enc2zh#5 一个婴儿在地板上背部，开始摇头
3nt5r1f3MNY_000016_000026#enc2zh#6 一个婴儿笑了，当一个人脱屏问它一个问题，它是震动它的头没有回应
3nt5r1f3MNY_000016_000026#enc2zh#7 一个男人问一个婴儿问题，婴儿通过摇头不响应没有，说是的
3nt5r1f3MNY_000016_000026#enc2zh#8 一个小宝宝在躺下时点头点头，一个男人正在和它交谈
3nt5r1f3MNY_000016_000026#enc2zh#9 一个婴儿对一个人的声音咯咯笑，并点头点头
Z3d198utb6Q_000056_000066#enc2zh#0 在一个女人在一个女人用手指提示来按摩奶油浸入她的脸上
Z3d198utb6Q_000056_000066#enc2zh#1 展示和指导洗涤和剥离脸部正确的妇女
Z3d198utb6Q_000056_000066#enc2zh#2 一个女人在脸上涂抹药膏时擦脸
Z3d198utb6Q_000056_000066#enc2zh#3 一个女人在她的脸上擦了一个去角质的奶油
Z3d198utb6Q_000056_000066#enc2zh#4 一个女孩看着镜头，洗脸一些脸
Z3d198utb6Q_000056_000066#enc2zh#5 一个女人在镜子里把润肤酶放在镜子上
Z3d198utb6Q_000056_000066#enc2zh#6 在谈论使用它时，在她的脸上的妇女摩擦乳液
Z3d198utb6Q_000056_000066#enc2zh#7 一个女人演示如何清洁她的脸，删除化妆
Z3d198utb6Q_000056_000066#enc2zh#8 一个女人在她解释如何去除她的皮肤时洗脸
Z3d198utb6Q_000056_000066#enc2zh#9 一个女人正在展示和讲述如何去除面部皮肤
Tm6IZIFxl8Q_000046_000056#enc2zh#0 一群男人正在拿着一头牛，而另一个人在牛仔竞技期间得到牛奶
Tm6IZIFxl8Q_000046_000056#enc2zh#1 一群人像众多不同的人一样唤醒牛仔队
Tm6IZIFxl8Q_000046_000056#enc2zh#2 两个男人在钢笔里抑制了一只公牛，而其他人在走动
Tm6IZIFxl8Q_000046_000056#enc2zh#3 一个人握住颈部，另一个动物的面孔，因为另一个人对它的下面做了一些东西
Tm6IZIFxl8Q_000046_000056#enc2zh#4 一个男人拿着公牛的角，因为另一个男人在亚军的睾丸中对公牛的睾丸做某事
Tm6IZIFxl8Q_000046_000056#enc2zh#5 在一个牛仔竞技赛两个人举行公牛和其他人正在欢呼
Tm6IZIFxl8Q_000046_000056#enc2zh#6 一个男人在一个户外牛仔竞技的角持有一个公牛
Tm6IZIFxl8Q_000046_000056#enc2zh#7 外面在动物秀戒指两个男人拿着一头奶牛，而另一个男人试图挤奶
Tm6IZIFxl8Q_000046_000056#enc2zh#8 一个公牛在播建者讲话时被一个男人伸出来
Tm6IZIFxl8Q_000046_000056#enc2zh#9 几个人在戒指中间举行一头母牛在别人面前
D1Wt3KxSs4c_000050_000060#enc2zh#0 一名年轻学生在成人说话时写在一张衬里的纸上
D1Wt3KxSs4c_000050_000060#enc2zh#1 一个人正在展示和指导如何用亚洲人物写作
D1Wt3KxSs4c_000050_000060#enc2zh#2 一个男人在一张纸上写亚洲人物
D1Wt3KxSs4c_000050_000060#enc2zh#3 一个年轻人正在写作并为一个不明确的过程提供口头指示
D1Wt3KxSs4c_000050_000060#enc2zh#4 一名学生在一块笔记本纸上做了汉语
D1Wt3KxSs4c_000050_000060#enc2zh#5 在笔中的纸上的纸上一个人用不是英语的语言写
D1Wt3KxSs4c_000050_000060#enc2zh#6 一个人用一张衬里的纸上用笔写入记录
D1Wt3KxSs4c_000050_000060#enc2zh#7 一个女人在写一张纸上时讲一个问题
D1Wt3KxSs4c_000050_000060#enc2zh#8 使用他们的权利人使用铅笔和一张纸来写一些东西
D1Wt3KxSs4c_000050_000060#enc2zh#9 一个女人在一张衬里的纸上写下汉字
fp8xB76kvCQ_000169_000179#enc2zh#0 一个男人正在弹吉他和唱歌乡村音乐
fp8xB76kvCQ_000169_000179#enc2zh#1 一名男子弹吉他和人们走过的歌唱
fp8xB76kvCQ_000169_000179#enc2zh#2 一个男人坐在一把椅子上，弹吉他，唱歌进入麦克风，而其他人在他身后的码头上散步
fp8xB76kvCQ_000169_000179#enc2zh#3 一个年长的超重男人在玩声学吉他和唱歌之外
fp8xB76kvCQ_000169_000179#enc2zh#4 一个较旧的绅士坐在前廊上弹吉他并唱歌麦克风
fp8xB76kvCQ_000169_000179#enc2zh#5 一个男人坐下来弹吉他并唱一首歌
fp8xB76kvCQ_000169_000179#enc2zh#6 唱歌一个吉他的一个老人与在外面观众
fp8xB76kvCQ_000169_000179#enc2zh#7 一个男人唱歌并在海滩地点扮演吉他
fp8xB76kvCQ_000169_000179#enc2zh#8 一个人在舞台上玩吉他上的歌曲
fp8xB76kvCQ_000169_000179#enc2zh#9 一名男子在甲板上坐在凳子上扮演吉他，唱着麦克风
VxyMj-ct9Go_000067_000077#enc2zh#0 鳄鱼的嘴巴被一个男人开放，同时站在一个小池塘，与在短墙后面看的人
VxyMj-ct9Go_000067_000077#enc2zh#1 一个大男人在一个有两个鳄鱼的小游泳池里，正在抚摸其中一个
VxyMj-ct9Go_000067_000077#enc2zh#2 一名男子在池塘里有一个鳄鱼的观看
VxyMj-ct9Go_000067_000077#enc2zh#3 一个人在围栏中跨越浅水区的鳄鱼
VxyMj-ct9Go_000067_000077#enc2zh#4 一个男人在其外壳的水中玩鳄鱼一群人
VxyMj-ct9Go_000067_000077#enc2zh#5 一个男人正在打开在水中的鳄鱼的嘴
VxyMj-ct9Go_000067_000077#enc2zh#6 一个人在人们看着他时按摩鳄鱼
VxyMj-ct9Go_000067_000077#enc2zh#7 一个男人用鳄鱼扮演鳄鱼，当他抱着下巴时，将牙齿显示为大众
VxyMj-ct9Go_000067_000077#enc2zh#8 鳄鱼玻璃中的一个男人在移动时抱着鳄鱼嘴
VxyMj-ct9Go_000067_000077#enc2zh#9 动物园的一个人站在鳄鱼之上并控制它
Nc1HmQ5fdqo_000240_000250#enc2zh#0 一个小女孩正在使用拖把清洁窗外的外面
Nc1HmQ5fdqo_000240_000250#enc2zh#1 一个年轻的女孩用拖把清洁窗户，解释她在做什么
Nc1HmQ5fdqo_000240_000250#enc2zh#2 一个年轻的女孩在拿着一个拖把的拖把在一个开阔的窗户
Nc1HmQ5fdqo_000240_000250#enc2zh#3 一个女孩在窗户外面拖把，并向拖把头向上角度，试图清洗窗外
Nc1HmQ5fdqo_000240_000250#enc2zh#4 一个年轻的女孩试图用地板拖把清洁窗外的外面
Nc1HmQ5fdqo_000240_000250#enc2zh#5 一个小女孩站在一个房间里面，在一个开放的窗户前拿着一个湿拖把在窗外试图清洁它
Nc1HmQ5fdqo_000240_000250#enc2zh#6 一个女孩拿着一个拖把出来的房子窗外，试图洗窗外
Nc1HmQ5fdqo_000240_000250#enc2zh#7 一个女孩把拖把出来窗外，谈话
Nc1HmQ5fdqo_000240_000250#enc2zh#8 一个女孩试图用拖把洗窗外
Nc1HmQ5fdqo_000240_000250#enc2zh#9 一个年轻的女孩正试图用拖把在窗外洗
PDTacXB_3nw_000089_000099#enc2zh#0 一个男人正在修剪一棵高大的棕榈树的树枝
PDTacXB_3nw_000089_000099#enc2zh#1 一个人在棕榈树中，分支正在来回摇曳
PDTacXB_3nw_000089_000099#enc2zh#2 一个男人爬上棕榈树，吹过一个叶子
PDTacXB_3nw_000089_000099#enc2zh#3 一个男人声称到棕榈树顶部，并试图去除分支
PDTacXB_3nw_000089_000099#enc2zh#4 一个人正在爬上棕榈树用绳索切割它
PDTacXB_3nw_000089_000099#enc2zh#5 一个男人在空中升高，以便在高大的棕榈树上修剪叶子
PDTacXB_3nw_000089_000099#enc2zh#6 一条树修剪器用电锯爬上一棵棕榈树，因为一个男孩说相机我看着这件事
PDTacXB_3nw_000089_000099#enc2zh#7 一个男人在棕榈树上爬上攀爬，可能修剪戴上棕榈叶
PDTacXB_3nw_000089_000099#enc2zh#8 一个男人在阳光灿烂的日子里爬上棕榈树的一侧
PDTacXB_3nw_000089_000099#enc2zh#9 在棕榈树上的一个人移动一个分支以爬得更高
Cefj4y2VvNY_000093_000103#enc2zh#0 两个年轻女性正在制作一些东西，笑着和玩得开心
Cefj4y2VvNY_000093_000103#enc2zh#1 一个女人试图拯救被毁了的蛋糕
Cefj4y2VvNY_000093_000103#enc2zh#2 试图捆绑或包裹某种粘贴的两个年轻女孩
Cefj4y2VvNY_000093_000103#enc2zh#3 两个女人嘲笑一个黑色的对象是其中一个女人正在制作
Cefj4y2VvNY_000093_000103#enc2zh#4 两个女性在厨房里嘲笑一个没有锻炼的蛋糕
Cefj4y2VvNY_000093_000103#enc2zh#5 厨房里的女孩嘲笑他们在厨房桌上触摸的东西
Cefj4y2VvNY_000093_000103#enc2zh#6 一个女人和一个女孩在笑，而女人安排绑扎染料衬衫
Cefj4y2VvNY_000093_000103#enc2zh#7 两个女孩正在制作黑色苗条，正在笑
Cefj4y2VvNY_000093_000103#enc2zh#8 一位女性坐在厨房桌子，当另一个女性有塑料手套的塑料手套在形状坐在桌上
Cefj4y2VvNY_000093_000103#enc2zh#9 两个女孩在厨房里弄得一团糟，嘲笑它
OrlKDcSjAq4_000000_000010#enc2zh#0 一个女人正在用着色涂抹在她的脸上
OrlKDcSjAq4_000000_000010#enc2zh#1 一个女人躺在她身后得到她的眉毛打蜡
OrlKDcSjAq4_000000_000010#enc2zh#2 一个女孩正在躺下，而有人在做她的眉毛
OrlKDcSjAq4_000000_000010#enc2zh#3 一位年轻的女士躺下并加入她的眉毛
OrlKDcSjAq4_000000_000010#enc2zh#4 一位女性在躺在她的背上时，让她的眉毛完成
OrlKDcSjAq4_000000_000010#enc2zh#5 一个女人显示在她的眉毛上完成了某种治疗
OrlKDcSjAq4_000000_000010#enc2zh#6 当她的眉毛越彩色时，一个女人正在闭上眼睛
OrlKDcSjAq4_000000_000010#enc2zh#7 音乐正在播放，因为一个女人躺下，一个女人在她的眉毛上工作
OrlKDcSjAq4_000000_000010#enc2zh#8 一个女人躺在她的背上，另一个女人用眉毛上的工具和染料工作
OrlKDcSjAq4_000000_000010#enc2zh#9 一位女士让她的眉毛被某人打蜡，而她的头靠在毛巾上
5KdKOxhQ7-A_000000_000010#enc2zh#0 一位女士和一个孩子们说话，当狗走来摇尾笔时笑着笑
5KdKOxhQ7-A_000000_000010#enc2zh#1 一个婴儿和她的妈妈坐在地板上，狗妈妈展示了宝宝如何拍摄相机
5KdKOxhQ7-A_000000_000010#enc2zh#2 一个家庭和他们的狗正在玩和听音乐
5KdKOxhQ7-A_000000_000010#enc2zh#3 一个女人，她的宝宝和一只狗坐在地板上，女人拍手和婴儿笑着复制她
5KdKOxhQ7-A_000000_000010#enc2zh#4 一个婴儿和一只狗的夫人坐在地上一起玩
5KdKOxhQ7-A_000000_000010#enc2zh#5 一个女人哄骗婴儿，而狗摇尾巴
5KdKOxhQ7-A_000000_000010#enc2zh#6 一个婴儿坐在一个女人面前，狗也摇尾舞
5KdKOxhQ7-A_000000_000010#enc2zh#7 坐在一起和她的母亲和一只狗在里面的婴儿猫
5KdKOxhQ7-A_000000_000010#enc2zh#8 有一个婴儿坐在一个女人和地板上的狗之间
5KdKOxhQ7-A_000000_000010#enc2zh#9 aq女人一个婴儿和一只狗拍手，而狗摇尾蛇尾巴
xNThuz-cw74_000002_000012#enc2zh#0 两个女孩种族和一个人进入一个小的树苗和瀑布，第二次跑回树上跳跃，然后弯曲到地上然后滑倒
xNThuz-cw74_000002_000012#enc2zh#1 女孩们在一棵小树上撞到了爆炸
xNThuz-cw74_000002_000012#enc2zh#2 与另一个人一起跑的女孩跑到树上，落到了地上
xNThuz-cw74_000002_000012#enc2zh#3 两个年轻女孩在草地上跑步，试图分解一棵树
xNThuz-cw74_000002_000012#enc2zh#4 一个女人跑进一棵小树，然后下降，然后另一个女人跑进同一个树上
xNThuz-cw74_000002_000012#enc2zh#5 几个女孩在跑来跑去和一棵树一起玩
xNThuz-cw74_000002_000012#enc2zh#6 两个女孩跑在一个领域，其中一个人与灌木丛碰撞，另一个人笑了
xNThuz-cw74_000002_000012#enc2zh#7 两个年轻女子跑过一个领域，一个人在落山之前弯下去，然后在她跌倒之前弯曲，然后第二次跑到树苗上
xNThuz-cw74_000002_000012#enc2zh#8 两位年轻女士之一意外地跑到了一棵小树，然后另一个是笑着笑着的
xNThuz-cw74_000002_000012#enc2zh#9 跑到一棵树发芽和落在地面笑的两个女孩
nR6BuFBfiCc_000129_000139#enc2zh#0 一个婴儿和另一个孩子在浴缸里，他们笑了
nR6BuFBfiCc_000129_000139#enc2zh#1 沐浴在浴缸里的两个幼儿玩玩具和互相咯咯地笑
nR6BuFBfiCc_000129_000139#enc2zh#2 两个蹒跚学步的孩子一起坐在浴缸里，玩耍和笑
nR6BuFBfiCc_000129_000139#enc2zh#3 孩子们用水玩，在浴缸里玩得开心
nR6BuFBfiCc_000129_000139#enc2zh#4 两个婴儿在彼此洗澡时笑
nR6BuFBfiCc_000129_000139#enc2zh#5 孩子们坐在浴缸里笑着笑着
nR6BuFBfiCc_000129_000139#enc2zh#6 两个幼儿正在洗澡，互相笑
nR6BuFBfiCc_000129_000139#enc2zh#7 在浴缸里是两个年轻的婴儿，谁互相笑，而一个人拿着一本绿皮书
nR6BuFBfiCc_000129_000139#enc2zh#8 两个婴儿坐在浴缸里一起玩，互相笑着笑着
nR6BuFBfiCc_000129_000139#enc2zh#9 两个幼儿傻笑，一起坐在浴缸里
e3zMGaHILL4_000002_000012#enc2zh#0 一个人骑在一辆自行车上，驾驶到一个水中
e3zMGaHILL4_000002_000012#enc2zh#1 骑自行车的叶子车库在码头上升到坡道上的车道踏板
e3zMGaHILL4_000002_000012#enc2zh#2 一个人骑自行车从坡道跳进水中
e3zMGaHILL4_000002_000012#enc2zh#3 一名男子从远处骑自行车在平台上抬起并落入水中
e3zMGaHILL4_000002_000012#enc2zh#4 一个男人骑自行车向上爬到他家的斜坡上，跳进一个大湖
e3zMGaHILL4_000002_000012#enc2zh#5 在骑车者和自行车前接近坡道之前，有人骑自行车沿着坡道进入坡道，然后骑自行车
e3zMGaHILL4_000002_000012#enc2zh#6 一个男人在房子里骑自行车被抬起并进入湖边
e3zMGaHILL4_000002_000012#enc2zh#7 一名男子在他家后面倾斜的斜坡骑自行车，坡道坡道在水中
e3zMGaHILL4_000002_000012#enc2zh#8 在一个湖房车库里，一个男人在截止坡道上骑自行车出来，进入水中
e3zMGaHILL4_000002_000012#enc2zh#9 一个男人骑着他的自行车在坡道上变成空中并进入水中
VFYFDBAW6o0_000135_000145#enc2zh#0 一个男人按摩一个女人的腿，而她的其他腿被毛巾覆盖着
VFYFDBAW6o0_000135_000145#enc2zh#1 有人用手指揉另一个腿
VFYFDBAW6o0_000135_000145#enc2zh#2 一个人抱着另一个人的腿，向上和向下摩擦他们的大腿
VFYFDBAW6o0_000135_000145#enc2zh#3 一个男人在她的大腿上给女人一个按摩
VFYFDBAW6o0_000135_000145#enc2zh#4 一个躺下的女人有左腿摇动并按摩
VFYFDBAW6o0_000135_000145#enc2zh#5 那个男人在拿着脚踝时按摩一个女人的大腿
VFYFDBAW6o0_000135_000145#enc2zh#6 一个人展示了如何正确按摩另一个人的腿
VFYFDBAW6o0_000135_000145#enc2zh#7 躺在桌子上的女人是让她的腿按照按摩师按摩
VFYFDBAW6o0_000135_000145#enc2zh#8 一个人仔细按摩另一个人的上腿
VFYFDBAW6o0_000135_000145#enc2zh#9 一个人在肚子上平躺，而另一个人按摩他们的腿
m1WVvAdE5ow_000136_000146#enc2zh#0 一些礼品包装纸展开，一个盒子放在礼品包装纸顶部
m1WVvAdE5ow_000136_000146#enc2zh#1 一个人用好的紫色包装纸包裹礼物
m1WVvAdE5ow_000136_000146#enc2zh#2 一个男人开始在包装纸包裹一个小盒子
m1WVvAdE5ow_000136_000146#enc2zh#3 一个人开始包裹现在，悄悄解释他在做什么
m1WVvAdE5ow_000136_000146#enc2zh#4 一个男人用粉红色格仔包装纸包装一个盒子
m1WVvAdE5ow_000136_000146#enc2zh#5 关闭红色和紫色包装纸被展开，然后在它放置了一个白色箱子
m1WVvAdE5ow_000136_000146#enc2zh#6 一个人正在展开一卷包装纸并将盒子放在卷顶部
m1WVvAdE5ow_000136_000146#enc2zh#7 一个人展开包装纸以放置一个包装的盒子
m1WVvAdE5ow_000136_000146#enc2zh#8 一个男人教学如何在没有使用很多包装的情况下包裹一个小盒子
m1WVvAdE5ow_000136_000146#enc2zh#9 一个女人展开包装纸，并在准备包装时放置一个盒子
AyrbBM87D5g_000012_000022#enc2zh#0 一个男人在肩部高度拿着一个沉重的杠铃，然后将其放在地板上，然后将其抬回到相同的位置
AyrbBM87D5g_000012_000022#enc2zh#1 在健身房里，一个男人用重量抬起杠铃，并进行干净的升力
AyrbBM87D5g_000012_000022#enc2zh#2 一个男人赤膊男子在健身房的体重训练
AyrbBM87D5g_000012_000022#enc2zh#3 一个年轻人独自在健身房举重相当沉重的重量
AyrbBM87D5g_000012_000022#enc2zh#4 一个男人掉下来，然后抬起金属杆，最后有许多重的重量
AyrbBM87D5g_000012_000022#enc2zh#5 健身房里的一个男人正在抬起一套沉重的重量
AyrbBM87D5g_000012_000022#enc2zh#6 一个适合看的年轻人实践死的重量升重
AyrbBM87D5g_000012_000022#enc2zh#7 一个肌肉患者死亡升降机在健身房的大量重量
AyrbBM87D5g_000012_000022#enc2zh#8 一个男人在健身房里面，试图在酒吧抬起一套沉重的重量
AyrbBM87D5g_000012_000022#enc2zh#9 适合年轻人在健身房举重
7oyhm2iY2wQ_000000_000010#enc2zh#0 在白色的表面上靠在白色的表面时，一个男孩被看见并点头点头
7oyhm2iY2wQ_000000_000010#enc2zh#1 一个小男孩躺着，他的眼睛闭着嘴闭上了
7oyhm2iY2wQ_000000_000010#enc2zh#2 一个年轻的男孩躺在桌子上，在打喷嚏前深呼吸
7oyhm2iY2wQ_000000_000010#enc2zh#3 一个男孩在点头点头时睡觉，然后快速醒来
7oyhm2iY2wQ_000000_000010#enc2zh#4 一个年轻的男孩假装在喘着粗气和睡觉之前要睡着了
7oyhm2iY2wQ_000000_000010#enc2zh#5 一个男孩坐下来，他正在睡觉和录制自己
7oyhm2iY2wQ_000000_000010#enc2zh#6 一个人被展示睡午觉，在那里张开嘴巴
7oyhm2iY2wQ_000000_000010#enc2zh#7 一个男孩坐下来回摇摆然后打喷嚏
7oyhm2iY2wQ_000000_000010#enc2zh#8 一个年轻的男孩坐着，当他睡觉时，他的头弯曲，因为他进入更深的睡眠导致头部混蛋
7oyhm2iY2wQ_000000_000010#enc2zh#9 在桌子上，一个男孩在他的背上躺在他的背上，几次点头
bbZMxUKuKms_000293_000303#enc2zh#0 一个男人使用其中一个老式切割喉部剃须刀来培养他的胡子胡子和sideburns
bbZMxUKuKms_000293_000303#enc2zh#1 一个男人展示了使用直剃刀刮脸，没有剃须膏的帮助
bbZMxUKuKms_000293_000303#enc2zh#2 男人用直边锋剃须刀刮脸
bbZMxUKuKms_000293_000303#enc2zh#3 一个男人使用剃刀刮胡子，他的牙齿烧伤
bbZMxUKuKms_000293_000303#enc2zh#4 一个男人用刀子像剃刀一样用刀子来修剪他的胡子和侧面烧伤
bbZMxUKuKms_000293_000303#enc2zh#5 一个男人正在使用一个古老的时尚剃刀剃掉他的脸和sideburns
bbZMxUKuKms_000293_000303#enc2zh#6 盯着卫生间镜子这个男人正在用他的直剃须刀刮脸，并整理他的马蹄犬
bbZMxUKuKms_000293_000303#enc2zh#7 一个男人用直刃剃刀刮河，然后开始刮胡子
bbZMxUKuKms_000293_000303#enc2zh#8 镜子前面的男人正在修剪他的面部头发
